STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,_merge
2,100,Alaska,Haines Borough,2397.0,2321.0,2301.0,2309.0,2243.0,2232.0,2245.0,2315.0,2327.0,2399.0,2501.0,2574.0,2577.0,2558.0,2555.0,2516.0,2531.0,2524.0,2488.0,2530.0,both
2,105,Alaska,Hoonah-Angoon Census Area,2561.0,2528.0,2463.0,2353.0,2294.0,2270.0,2228.0,2203.0,2182.0,2127.0,2107.0,2085.0,2114.0,2116.0,2098.0,2132.0,2121.0,2139.0,2155.0,2148.0,both
2,110,Alaska,Juneau City and Borough,30668.0,30480.0,30717.0,30892.0,30978.0,30872.0,30681.0,30544.0,30991.0,30796.0,31387.0,32161.0,32384.0,32594.0,32481.0,32615.0,32412.0,32098.0,32037.0,31974.0,both
2,122,Alaska,Kenai Peninsula Borough,49648.0,50036.0,50822.0,50923.0,51321.0,51527.0,52179.0,53238.0,53651.0,54665.0,55554.0,56299.0,56900.0,57014.0,57558.0,58034.0,58458.0,58558.0,58561.0,58708.0,both
2,130,Alaska,Ketchikan Gateway Borough,13983.0,13743.0,13540.0,13266.0,13122.0,13150.0,13302.0,13124.0,13081.0,13005.0,13573.0,13674.0,13729.0,13722.0,13802.0,13702.0,13707.0,13834.0,13856.0,13901.0,both
2,150,Alaska,Kodiak Island Borough,13966.0,13717.0,13629.0,13303.0,13178.0,13050.0,13093.0,13074.0,13170.0,13346.0,13646.0,13806.0,14037.0,14093.0,13907.0,13767.0,13728.0,13512.0,13250.0,12998.0,both
2,164,Alaska,Lake and Peninsula Borough,1809.0,1693.0,1585.0,1574.0,1576.0,1557.0,1529.0,1525.0,1494.0,1485.0,1639.0,1649.0,1649.0,1667.0,1647.0,1595.0,1600.0,1612.0,1596.0,1592.0,both
2,170,Alaska,Matanuska-Susitna Borough,59848.0,61910.0,64540.0,67515.0,71205.0,74988.0,79406.0,82404.0,85319.0,88379.0,89732.0,91725.0,93677.0,95880.0,98103.0,101062.0,104119.0,106232.0,107115.0,108317.0,both
2,180,Alaska,Nome Census Area,9171.0,9188.0,9185.0,9260.0,9397.0,9377.0,9293.0,9310.0,9326.0,9391.0,9543.0,9776.0,9824.0,9852.0,9810.0,9893.0,9966.0,10025.0,10053.0,10004.0,both
2,185,Alaska,North Slope Borough,7369.0,7212.0,7149.0,7125.0,6942.0,6798.0,6675.0,6630.0,6725.0,6752.0,9478.0,9554.0,9698.0,9792.0,9776.0,9788.0,9694.0,9795.0,9850.0,9832.0,both
